PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;TYPE HOGER ONDERWIJS;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;OPLEIDINGSFASE ACTUEEL;2013 MAN;2013 VROUW;2014 MAN;2014 VROUW;2015 MAN;2015 VROUW;2016 MAN;2016 VROUW;2017 MAN;2017 VROUW
Gelderland;0200;APELDOORN;WO kleine univ.;bachelor;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);56109;B Theologie;voltijd onderwijs;bachelor;27;7;23;8;28;11;31;10;21;7
Gelderland;0200;APELDOORN;WO kleine univ.;bachelor;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);56109;B Theologie;voltijd onderwijs;propedeuse bachelor;19;7;31;9;18;5;17;7;23;9
Gelderland;0200;APELDOORN;WO kleine univ.;master;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);60257;M Theologie;voltijd onderwijs;master;41;3;40;3;36;2;28;2;33;3
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50645;B Bedrijfskunde;voltijd onderwijs;bachelor;263;206;257;221;272;236;295;254;311;294
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50645;B Bedrijfskunde;voltijd onderwijs;propedeuse bachelor;304;163;313;158;269;149;287;154;394;202
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50950;B Economie en Bedrijfseconomie;voltijd onderwijs;bachelor;130;70;135;54;159;72;188;81;198;94
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50950;B Economie en Bedrijfseconomie;voltijd onderwijs;propedeuse bachelor;188;52;217;66;222;60;204;68;216;76
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);50035;B Culturele Antropologie en Ontwikkelingssociologie;voltijd onderwijs;bachelor;21;100;18;115;20;92;19;76;21;75
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);50035;B Culturele Antropologie en Ontwikkelingssociologie;voltijd onderwijs;propedeuse bachelor;8;61;16;34;18;44;15;44;14;43
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56601;B Sociologie;voltijd onderwijs;bachelor;23;46;28;67;26;66;27;60;25;63
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56601;B Sociologie;voltijd onderwijs;propedeuse bachelor;28;49;20;38;17;29;15;42;15;30
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56604;B Psychologie;voltijd onderwijs;bachelor;188;641;154;592;134;544;144;496;169;577
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56604;B Psychologie;voltijd onderwijs;propedeuse bachelor;152;440;153;400;139;360;242;578;194;454
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56606;B Politicologie;voltijd onderwijs;bachelor;84;58;91;52;106;55;127;71;147;69
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56606;B Politicologie;voltijd onderwijs;propedeuse bachelor;95;46;110;38;112;33;91;23;104;39
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56607;B Pedagogische Wetenschappen;voltijd onderwijs;bachelor;22;423;16;428;21;477;21;362;45;490
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56607;B Pedagogische Wetenschappen;voltijd onderwijs;propedeuse bachelor;18;257;14;226;15;151;14;120;21;167
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56615;B Communicatiewetenschap;voltijd onderwijs;bachelor;67;100;65;126;58;123;58;118;57;124
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56615;B Communicatiewetenschap;voltijd onderwijs;propedeuse bachelor;43;77;39;58;32;46;29;49;29;54
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56627;B Bestuurskunde;voltijd onderwijs;bachelor;71;82;76;65;85;57;84;58;100;79
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56627;B Bestuurskunde;voltijd onderwijs;propedeuse bachelor;87;37;87;36;76;37;75;39;87;56
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56947;B Geografie, Planologie en Milieu;voltijd onderwijs;bachelor;101;43;99;55;111;63;101;63;88;93
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56947;B Geografie, Planologie en Milieu;voltijd onderwijs;propedeuse bachelor;97;33;84;38;87;35;74;35;101;37
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56551;B Geneeskunde;voltijd onderwijs;bachelor;250;443;241;428;238;429;227;417;205;412
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56551;B Geneeskunde;voltijd onderwijs;propedeuse bachelor;150;280;144;257;144;271;154;259;142;271
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56560;B Tandheelkunde;voltijd onderwijs;bachelor;44;99;44;94;40;94;42;95;43;98
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56560;B Tandheelkunde;voltijd onderwijs;propedeuse bachelor;26;49;21;54;24;54;27;55;27;47
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56990;B Biomedische Wetenschappen;voltijd onderwijs;bachelor;69;101;68;103;80;132;81;127;59;122
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56990;B Biomedische Wetenschappen;voltijd onderwijs;propedeuse bachelor;60;85;55;97;42;91;40;80;48;79
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56842;B Informatiekunde;voltijd onderwijs;bachelor;19;1;17;0;8;1;0;0;0;0
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56842;B Informatiekunde;voltijd onderwijs;propedeuse bachelor;5;1;4;1;3;0;0;0;0;0
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56857;B Scheikunde;voltijd onderwijs;bachelor;59;29;66;31;60;29;56;35;0;0
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56857;B Scheikunde;voltijd onderwijs;propedeuse bachelor;52;13;60;18;51;25;67;19;0;0
